Tempo (s),Corrente i(t) [A],Tensão R [V],Tensão L [V],Tensão C [V]
0.0,0.0,0.0,0.0,0.0
1.001001001001001e-05,5.003897578833161e-10,5.003897578833161e-08,4.9999980505008735e-05,5.008906485318479e-11
2.002002002002002e-05,2.0008161994916803e-09,2.0008161994916802e-07,9.98998591091213e-05,2.503709667042038e-10
3.003003003003003e-05,4.4993516229407945e-09,4.4993516229407945e-07,0.0001496997323317503,7.007565145461252e-10
4.004004004004004e-05,7.993775400419013e-09,7.993775400419013e-07,0.0001993997115641758,1.5009342323057862e-09
5.005005005005005e-05,1.2482925674574391e-08,1.248292567457439e-06,0.0002489998562904776,2.7504763418727924e-09
6.006006006006006e-05,1.796458423637107e-08,1.796458423637107e-06,0.0002985002782886348,4.548733022190216e-09
7.007007007007007e-05,2.4436655191132748e-08,2.443665519113275e-06,0.00034790108286985677,6.994844652934235e-09
8.008008008008008e-05,3.189704264418308e-08,3.189704264418308e-06,0.00039720237534535303,1.0187741814514123e-08
9.009009009009009e-05,4.034365070084568e-08,4.034365070084568e-06,0.0004464042610263329,1.422614528807225e-08
0.0001001001001001001,4.9774383466444255e-08,4.977438346644425e-06,0.000495506845224006,1.9208566055484083e-08
0.0001101101101101101,6.018714504630239e-08,6.018714504630239e-06,0.0005445102332495813,2.5233305299358195e-08
0.00012012012012012012,7.157983954574379e-08,7.157983954574379e-06,0.0005934145304142687,3.239845440303625e-08
0.00013013013013013012,8.395037107009205e-08,8.395037107009204e-06,0.0006422198420292773,4.0801894950593005e-08
0.00014014014014014013,9.729664372467086e-08,9.729664372467086e-06,0.0006909262734058168,5.0541298726836336e-08
0.00015015015015015014,1.1161656161480388e-07,1.1161656161480387e-05,0.0007395339298550965,6.171412771730721e-08
0.00016016016016016016,1.2690803523292525e-07,1.2690803523292525e-05,0.000788042916424182,7.441763474763006e-08
0.00017017017017017017,1.4316945418600559e-07,1.4316945418600559e-05,0.000836453318346005,8.874891144292591e-08
0.00018018018018018018,1.603991121496842e-07,1.6039911214968423e-05,0.0008847652248208075,1.0480487862507649e-07
0.0001901901901901902,1.7859503507676513e-07,1.7859503507676514e-05,0.000932978736120707,1.2268225951364157e-07
0.0002002002002002002,1.9775524892005215e-07,1.9775524892005216e-05,0.0009810939525178206,1.4247757972585898e-07
0.0002102102102102102,2.1787777963234904e-07,2.1787777963234902e-05,0.0010291109742842654,1.6428716727664463e-07
0.0002202202202202202,2.389606531664598e-07,2.3896065316645982e-05,0.001077029901692159,1.882071525785926e-07
0.00023023023023023022,2.6100189547518825e-07,2.6100189547518825e-05,0.001124850835013618,2.143334684419748e-07
0.00024024024024024023,2.8399953251133817e-07,2.8399953251133818e-05,0.0011725738745207602,2.4276185007474137e-07
0.00025025025025025025,3.0795159022771353e-07,3.079515902277135e-05,0.001220199120485702,2.735878350825205e-07
0.00026026026026026023,3.3285609457711806e-07,3.328560945771181e-05,0.0012677266731805615,3.069067634686184e-07
0.0002702702702702703,3.5871107151235586e-07,3.587110715123559e-05,0.0013151566328774556,3.428137776340194e-07
0.00028028028028028026,3.8551454698623047e-07,3.8551454698623043e-05,0.001362489099848501,3.814038223773858e-07
0.0002902902902902903,4.132646136561213e-07,4.132646136561213e-05,0.0014097241742271505,4.2277165157219275e-07
0.0003003003003003003,4.419594017683265e-07,4.4195940176832654e-05,0.001456861956068717,4.670118319293826e-07
0.00031031031031031033,4.715969621048494e-07,4.715969621048494e-05,0.0015039025455937033,5.142187350429812e-07
0.0003203203203203203,5.021753450143493e-07,5.021753450143493e-05,0.001550846043023512,5.644865373467197e-07
0.0003303303303303303,5.33692600845486e-07,5.3369260084548594e-05,0.0015976925485795474,6.179092201140357e-07
0.00034034034034034034,5.661467799469192e-07,5.661467799469192e-05,0.001644442162483212,6.745805694580716e-07
0.0003503503503503503,5.995359326673085e-07,5.995359326673085e-05,0.0016910949849559098,7.34594176331676e-07
0.00036036036036036037,6.338581093553133e-07,6.338581093553134e-05,0.0017376511162190437,7.980434365274032e-07
0.00037037037037037035,6.691113603595934e-07,6.691113603595935e-05,0.001784110656494017,8.650215506775127e-07
0.0003803803803803804,7.052937360288086e-07,7.052937360288087e-05,0.0018304737060022335,9.356215242539699e-07
0.0003903903903903904,7.424032867116181e-07,7.424032867116181e-05,0.0018767403649650957,1.0099361675684464e-06
0.0004004004004004004,7.80438062756682e-07,7.80438062756682e-05,0.001922910733604008,1.0880580957723184e-06
0.0004104104104104104,8.193961543723931e-07,8.193961543723931e-05,0.001968984912006797,1.1700797328466319e-06
0.0004204204204204204,8.592757331161749e-07,8.592757331161749e-05,0.0020149629999886777,1.256093319745148e-06
0.00043043043043043043,9.000748797329332e-07,9.000748797329332e-05,0.0020608450976691917,1.3461909053040002e-06
0.0004404404404404404,9.417916690552344e-07,9.417916690552344e-05,0.0021066313051876923,1.4404643456498695e-06
0.00045045045045045046,9.84424175915646e-07,9.84424175915646e-05,0.002152321722683534,1.5390053041999842e-06
0.00046046046046046044,1.027970475146734e-06,0.00010279704751467339,0.0021979164502960707,1.6419052516621197e-06
0.0004704704704704705,1.0724286415810664e-06,0.00010724286415810665,0.002243415588164657,1.749255466034599e-06
0.00048048048048048047,1.1177967500512093e-06,0.00011177967500512093,0.0022888192364286467,1.8611470326062914e-06
0.0004904904904904905,1.1640728753897298e-06,0.00011640728753897298,0.002334127495227394,1.977670843956615e-06
