,Nome da Usina,Número da Barra,"Potência
Nominal
(MW)",Pmín Unidade (MW),Pmáx Unidade (MW),"Qmin por
Unidade
(Mvar)","Qmáx por
Unidade
(Mvar)",Despacho Atual,Unnamed: 8,Unnamed: 9,Unnamed: 10,Despacho Novo,Unnamed: 12,Modificações,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Número Máximo de Síncronos Despacháveis,Síncronos Despachados,Máquinas P.ativa Despacho Atual/Novo,"Nº Máximo de 
Unidades",Estado,Subsistema,Tipo de Usina,Nome do Rio,Nome da Bacia/ Estado,Região de Influência,Despacho da Usina em relação a Potência Instalada,Potência Instalada da Usina em relação ao Nominal da Bacia,Despacho da Usina em relação ao despacho da Bacia,Dados de Linha,Unnamed: 32,Unnamed: 33,Unnamed: 34,Máximo Síncronos Despacháveis,Balanço síncronos,UMX,Síncronos Despachados.1,Mq. Pativa modif + grupo,Mq. Pativa UMX UMN,Mq. Pativa,PInércia,Multiplos Grupos,Sincrono,Max Síncronos,UMN,Pmin,Pmax,Check Pmin,Numeração,Desp min,Sinc min,Nome da Barra do gerador CADASTRO,Qmin,Qmax,Carga Própria UGs (MW),"RPO
sincronizada","Const. Inércia
Equivalente",COD. CEG,COD. PEE,"CVU
(R$/MWh)",Inflexibilidade,Maior Reserva (MW),Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no PWF,,N° Circ,Nome da Barra do GERADOR,,,,,,,,min,,,,,,,,,,,,,,,,,,,,,489.700000000001,Belo Monte,,,,,,,,,,,
1,,,,,,,,MW,%,Mvar,Vterm,MW,%,MW,%,Forçar Nº de Máq,"Despacho
Síncronos",V term,,,,,,,Tipo de Usina,,,,,,,Barra DE,Barra PARA,,,,,,,,,,,,,,,,,,,,,,Qmin,Qmax,,9776.816,352.269093,Qmin,Qmin,Qmax,Qmin,Maior Inécia (MVA.s),,,,,,,,,,,,
2,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29.0,30.0,31.0,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51.0,52.0,53.0,54,55,56,57.0,58,59.0,60,61,62,63,54042.289,Belo Monte,Fórmulas TextBoxes,Descrição,,,,,,,,,
3,Tambaqui,8615,39,1.64,3.282,-1.93,2.67,35,0.897435897435898,16.71,0.987,35,0.897435897435898,,,,,,-,-,11,12,AM,N,Gás Natural,,Amazonas,,0.897435897435898,0.0296577946768061,0.0,8543,8615,1,PIETB1UTE011,-,-,12,-,,11,11,3.282,-,-,-,0,1.64,3.282,OK,342.0,,,PIETB1UTE000,-1.93,2.67,,1.102,44.616,,209,0,33,RPO UHE,9045.334,TUC1: 667  /  TUC2: 287,Tucuruí 1; Tucuruí 2,,,,,,,,,SE-CO
4,Angra 2,11,1350,1082,1350,-350,600,1215,0.9,360.9,0.95,945,0.7,,0.7,,,,-,-,1,1,RJ,SE-CO,Nuclear,,Rio de Janeiro,,0.9,0.123231401186673,0.0,105,11,1,ANGRA2UNE001,-,-,1,-,1,1,1,1350,-,-,-,0,1082,1350,REDESPACHAR,198.0,,,ANGRA2UNE000,-350,600,,405,6575.58,UTN.UR.RJ.000101-5.01,13,20.12,1080,RPO UTE,731.482,TUCURUÍ: 954 MW,Geração Total Tucuruí,,,,,,,,,S
5,Lajeado,7206,900,100,180,-57,57,880,0.977777777777778,-263,0.969,880,0.977777777777778,,,,,,-,-,5,5,TO,SE-CO,Fio d´Agua,Rio Tocantins,Rio Tocantins,,0.977777777777778,0.0696163366336634,0.0,7207,7206,1,LAJEADUHE005,-,-,5,-,,5,5,180,-,-,-,0,100,180,OK,127.0,100.0,,LAJEADUHE000,-57,57,,20,2910.8,UHE.PH.TO.001304-8.01,,,,RPO TOT,9776.816,SF: 6797MW,Geração São Francisco,,,,,,,,,NE
6,Ilha Solteira,501,3430,90,171.5,-50,50,2731,0.796209912536443,58.45,0.954,2731,0.796209912536443,,,,,,4,4,16,20,SP,SE-CO,Reservatório,Rio Paraná,Bacia do Paraná,Malha de 440kV - SP,0.796209912536443,0.522228989037759,0.0,538,501,1,I.SOLTUHE013,4,0,20,4,,16,16,171.5,-,531,4,0,90,171.5,OK,42.0,479.0,,I.SOLTUHE000,-50,50,,13,13783.0,UHE.PH.SP.001120-7.01,,,,Heq SE/CO,181.576008,"RPO sincronizada:9.777MW  9,0%",RPO Sincronizada,,,,,,,,,N
7,Boa Esperança,5522,127,53.1,63.5,-40,37,123,0.968503937007874,-39.3,0.95,123,0.968503937007874,,,,,,0,0,2,2,PI,NE,Reservatório,Rio Parnaíba,Rio Parnaíba,Sistema de 230kV do Nordeste,0.968503937007874,0.564444444444444,0.0,44095,5522,1,UBE2--UHE002,0,0,2,0,,2,2,63.5,-,5523,2,0,53.1,63.5,OK,122.0,,,UBE2--UHE000,-40,37,,4,525.28,UHE.PH.PI.000267-4.01,,,,Heq SUL,48.975217,"Heq = 352,269",Inércia Equivalente,,,,,,,,,SISOL
8,Ponte de Pedra,4520,176,40,58.7,-19.3,20,169,0.960227272727273,-15.1,0.985,169,0.960227272727273,,,,,,-,-,3,3,MT,SE-CO,Fio d´Agua,Rio Correntes,Bacia do Paraguai,,0.960227272727273,0.263473053892216,0.0,4594,4520,1,P.PEDRUHE003,-,-,3,-,,3,3,58.7,-,-,-,0,40,58.7,OK,165.0,,,P.PEDRUHE000,-19.3,20,,7.10000000000002,558.0,UHE.PH.MT.002103-2.01,,,,Heq NE,30.927796,Swing: 2731 > 267   UHE SECO:66%,SWING e UHE SECO,,,,,,,,,
9,Garibaldi,9735,189,45,63,-32.3,32.3,113,0.597883597883598,-44,1,113,0.597883597883598,,,,,,-,-,2,3,SC,S,Fio d´Agua,Rio Canoas,Rio Uruguai,,0.597883597883598,0.0320393286997796,0.0,9737,9735,1,GARIBAUHE002,-,-,3,-,,2,2,63,-,-,-,0,45,63,OK,176.0,,,GARIBAUHE000,-32.3,32.3,,13,367.928,UHE.PH.SC.030415-8.01,,,,Heq NORTE,90.790072,Desp.: 80% > 8%   Δ(MW): -2464,Despacho SWING,,,,,,,,,
10,Suíça,2601,35,-,-,-,-,33,0.942857142857143,0,0.933,33,0.942857142857143,,,,,,-,-,-,-,ES,SE-CO,Fio d´Agua,Rio Santa Maria,P. do Sul / R. das Lajes / Piraí,,0.942857142857143,0.0202078521939954,0.0,2680,2601,1,SUICA-UHE001,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,81.0,,,SUICA-UHE000,-,-,,-,0.0,UHE.PH.ES.002781-2.01,,,,Heq SISOL,0,501,Barra Swing,,,,,,,,,
11,Samuel,6891,216,20,43.2,-14,21,200,0.925925925925926,0.0655,0.979,200,0.925925925925926,,,,,,-,-,5,5,RO,SE-CO,Reservatório,Rio Jamari,Bacia do Amazonas,,0.925925925925926,0.009119696010133,0.0,6890,6891,1,SAMU1-UHE005,-,-,5,-,,5,5,43.2,-,-,-,0,20,43.2,OK,151.0,40.0,,SAMU1-UHE000,-14,21,,16,900.15,UHE.PH.RO.002687-5.01,,,,,,SIN,seleção sinc,,,,,,,,,
12,Belo Monte,6729,10999,,,,,9899,0.899990908264388,2158,1.04,9899,0.899990908264388,,,,,,1,0,17,18,PA,N,Fio d´Agua,Rio Xingú,Bacia do Amazonas,,0.899990908264388,0.464386742664133,0.0,6730,6729,1,BMONTEUHE017,1,1,18,0,,17,17,611.1,6729,6728,3,0,305.5,611.1,OK,137.0,,,BMONTEUHE000,,,,489.700000000001,54042.289,UHE.PH.PA.030354-2.01,,,,,,SE-CO,seleção sinc,,,,,,,,,
13,Pimental (Bloco 1),6555,77,9.61,38.9,-6.5,12,69,0.896103896103896,-6.25,0.977,69,0.896103896103896,,,,,,-,-,2,2,PA,N,Fio d´Agua,Rio Xingú,Bacia do Amazonas,,0.896103896103896,0.00325100274435297,0.0,6554,6555,1,PMTBL1UHE002,-,-,2,-,,2,2,38.9,-,-,-,0,9.61,38.9,OK,134.0,,,PMTBL1UHE000,-6.5,12,,8.8,104.14,UHE.PH.PA.030354-2.02,,,,,,S,seleção sinc,,,,,,,,,
14,Pimental (Bloco 2),6556,77,9.61,38.9,-6.5,12,69,0.896103896103896,-6.25,0.977,69,0.896103896103896,,,,,,-,-,2,2,PA,N,Fio d´Agua,Rio Xingú,Bacia do Amazonas,,0.896103896103896,0.00325100274435297,0.0,6554,6556,1,PMTBL2UHE002,-,-,2,-,,2,2,38.9,-,-,-,0,9.61,38.9,OK,135.0,,,PMTBL2UHE000,-6.5,12,,8.8,0.0,UHE.PH.PA.030354-2.02,,,,,,NE,seleção sinc,,,,,,,,,
15,Pimental (Bloco 3),6559,77,9.61,38.9,-6.5,12,69,0.896103896103896,-6.25,0.977,69,0.896103896103896,,,,,,-,-,2,2,PA,N,Fio d´Agua,Rio Xingú,Bacia do Amazonas,,0.896103896103896,0.00325100274435297,0.0,6554,6559,1,PMTBL3UHE002,-,-,2,-,,2,2,38.9,-,-,-,0,9.61,38.9,OK,136.0,,,PMTBL3UHE000,-6.5,12,,8.8,0.0,UHE.PH.PA.030354-2.02,,,,,,N,seleção sinc,,,,,,,,,
16,Paraibuna,526,86,20,43,-26,26,77,0.895348837209302,-9.99,1,77,0.895348837209302,,,,,,-,-,2,2,SP,SE-CO,Reservatório,Rio Paraíba do Sul,P. do Sul / R. das Lajes / Piraí,Vale do Paraíba do Sul - SP,0.895348837209302,0.0496535796766744,0.0,718,526,1,PARAIBUHE002,-,-,2,-,,2,2,43,-,-,-,0,20,43,OK,75.0,7.0,,PARAIBUHE000,-26,26,,9,434.0,UHE.PH.SP.027122-5.01,,,,,,"GW.s (SIN) = 352,269",Inércia Equivalente,,,,,,,,,
17,Dardanelos,4890,224,34.8,56,-32,32,200,0.892857142857143,-51,0.95,200,0.892857142857143,,,,,,-,-,4,4,MT,SE-CO,Fio d´Agua,Rio Aripuanã,Bacia do Amazonas,,0.892857142857143,0.00945746252902681,0.0,4890,4892,1,DARDA1UHE004,-,-,4,-,,4,4,56,-,-,-,0,34.8,56,OK,153.0,,,DARDA1UHE000,-32,32,,24,853.58,UHE.PH.MT.029597-3.01,,,,,,RPO TOT:9.777 MW / UHE:9.045 MW / UTE:731 MW,,,,,,,,,,
18,Dardanelos,4891,28,17.4,28,-16,16,25,0.892857142857143,-1.95,0.966,25,0.892857142857143,,,,,,-,-,1,1,MT,SE-CO,Fio d´Agua,Rio Aripuanã,Bacia do Amazonas,,0.892857142857143,0.00118218281612835,0.0,4891,4892,1,DARDA2UHE001,-,-,1,-,,1,1,28,-,-,-,0,17.4,28,OK,154.0,18.0,,DARDA2UHE000,-16,16,,3,113.44,UHE.PH.MT.029597-3.01,,,,,,Carga SIN = 108 GW (GERTOT),,,,,,,,,,
19,Porto Colômbia,28,328,40,82,-25,25,291,0.88719512195122,-51.4,0.979,291,0.88719512195122,,,,,,-,-,4,4,MG/SP,SE-CO,Fio d´Agua,Rio Grande,Bacia do Grande,,0.88719512195122,0.0439678284182306,0.0,190,28,1,PCOLOMUHE004,-,-,4,-,,4,4,82,-,-,-,0,40,82,OK,11.0,34.0,,PCOLOMUHE000,-25,25,,37,1021.72,UHE.PH.MG.002117-2.01,,,,,,BELO MONTE: 930 MW,Geração BM,,,,,,,,,
20,Gov. José Richa (Salto Caxias),808,1240,235,310,-150,111.7,496,0.4,-318,0.909,496,0.4,,,,,,2,0,2,4,PR,S,Fio d´Agua,Rio Iguaçu,Bacia do Iguaçu,Sistema de 500kV do Sul,0.4,0.169839747979729,0.0,897,808,1,GJRICHUHE002,2,2,4,0,,2,2,310,-,809,4,0,235,310,OK,171.0,0.0,4.0,GJRICHUHE000,-150,111.7,0.6,124,2711.286,UHE.PH.PR.002591-7.01,,,,,,REDESPACHO CASCATA SUL:  6.447 MW / 46 %,Geração UHE SUL,,,,,,,,,
21,Rosal,2696,50,-,-,-,-,43,0.86,-0.489,0.974,43,0.86,,,,,,-,-,-,-,RJ/ES,SE-CO,Fio d´Agua,Rio Itabapoana,P. do Sul / R. das Lajes / Piraí,,0.86,0.0288683602771363,0.0,2690,2696,1,ROSAL-UHE002,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,82.0,,,ROSAL-UHE002,-,-,,-,0.0,UHE.PH.ES.002553-4.01,,,,,,"Heq(GW.s):   SIN=352,3  /  SE-CO=181,6  /  S=49,0  /  NE=30,9  /  N=90,8  /  SISOL=0,0",Inércia Eqv. por Subsistema,,,,,,,,,
22,Estreito,5595,1087,,135.9,-67.63,67.63,921,0.847286108555658,-153,0.95,921,0.847286108555658,,,,,,-,-,7,8,MA,N,Fio d´Agua,Rio Tocantins,Rio Tocantins,,0.847286108555658,0.0840810643564356,0.0,5594,5595,1,ESTREIUHE007,-,-,8,-,,7,7,135.9,-,-,-,0,0,135.9,OK,128.0,85.0,,ESTREIUHE000,-67.63,67.63,,30.3000000000001,3777.2,UHE.PH.MA.028863-2.01,,,,,,,,,,,,,,,,
23,Barra dos Coqueiros,9449,90,,45,-16.2,21.79,76,0.844444444444444,-7.71,0.984,76,0.844444444444444,,,,,,-,-,2,2,GO,SE-CO,Reservatório,Rio Claro,Bacia do Paranaíba,,0.844444444444444,0.0105857445306987,0.0,9449,9444,1,BCOQUEUHE002,-,-,2,-,,2,2,45,-,-,-,0,0,45,OK,35.0,18.0,,BCOQUEUHE000,-16.2,21.79,,14,293.0,UHE.PH.GO.028757-1.01,,,,,,,,,,,,,,,,
24,Jaraqui,8612,36,1.64,3.282,-1.93,2.67,30,0.833333333333333,8.373,0.998,30,0.833333333333333,,,,,,-,-,10,11,AM,N,Gás Natural,,Amazonas,,0.833333333333333,0.0273764258555133,0.0,8569,8612,1,PIEJR2UTE010,-,-,11,-,,10,10,3.282,-,-,-,0,1.64,3.282,OK,341.0,,,PIEJR2UTE000,-1.93,2.67,,2.82,40.56,,204,0,30,,,,,,,,,,,,,
25,Tambaqui,8617,36,1.64,3.282,-1.93,2.67,30,0.833333333333333,14.93,0.985,30,0.833333333333333,,,,,,-,-,10,11,AM,N,Gás Natural,,Amazonas,,0.833333333333333,0.0273764258555133,0.0,8543,8617,1,PIETB2UTE010,-,-,11,-,,10,10,3.282,-,-,-,0,1.64,3.282,OK,343.0,,,PIETB2UTE000,-1.93,2.67,,2.82,0.0,,209,0,30,,,,,,,,,,,,,
26,Salto Rio Verdinho,9443,94,,47.45,-13.7,20.68,78,0.829787234042553,-5.48,0.992,78,0.829787234042553,,,,,,-,-,2,2,MG/GO,SE-CO,Reservatório,Rio Verde,Bacia do Paranaíba,,0.829787234042553,0.0110562220653964,0.0,9443,9459,1,S.R.V-UHE002,-,-,2,-,,2,2,47.45,-,-,-,0,0,47.45,OK,40.0,34.0,,S.R.V-UHE000,-13.7,20.68,,16.9,287.828,UHE.PH.GO.028760-1.01,,,,,,,,,,,,,,,,
27,Itiquira II,4525,95,,47.6,-37,23.8,78,0.821052631578947,-0.876,0.983,78,0.821052631578947,,,,,,-,-,2,2,MT,SE-CO,Fio d´Agua,Rio Itiquira,Bacia do Paraguai,,0.821052631578947,0.142215568862275,0.0,4521,4525,1,ITIQ-2UHE002,-,-,2,-,,2,2,47.6,-,-,-,0,0,47.6,OK,164.0,21.0,,ITIQ-2UHE000,-37,23.8,,17.2,338.352,UHE.PH.MT.027244-2.01,,,,,,,,,,,,,,,,
28,Santa Clara PR,806,122,35,61,-29,29,49,0.401639344262295,-22.7,0.928,49,0.401639344262295,,,,,,-,-,1,2,PR,S,Reservatório,Rio Jordão,Bacia do Iguaçu,,0.401639344262295,0.0167100397205862,0.0,807,806,1,SCLARAUHE001,-,-,2,-,,1,1,61,-,-,-,0,35,61,OK,173.0,35.0,,SCLARAUHE000,-29,29,,12,218.42,UHE.PH.PR.028361.4.01,,,,,,,,,,,,,,,,
29,Fundão,2475,122,35,61,-29,29,49,0.401639344262295,-21.4,0.928,49,0.401639344262295,,,,,,-,-,1,2,PR,S,Fio d´Agua,Rio Jordão,Bacia do Iguaçu,,0.401639344262295,0.0167100397205862,0.0,2476,2475,1,FUNDAOUHE001,-,-,2,-,,1,1,61,-,-,-,0,35,61,OK,174.0,35.0,,FUNDAOUHE000,-29,29,,12,218.42,UHE.PH.PR.028360-6.01,,,,,,,,,,,,,,,,
30,Nilo Peçanha,44323,284,15,71,-15.9,45,232,0.816901408450704,22.64,0.95,232,0.816901408450704,,,,,,-,-,4,4,RJ,SE-CO,Fio d´Agua,Rio Piraí,P. do Sul / R. das Lajes / Piraí,,0.816901408450704,0.163972286374134,0.0,251,44323,1,NPECA1UHE004,-,-,4,-,,4,4,71,-,-,-,0,15,71,OK,88.0,,,NPECA1UHE000,-15.9,45,,52,1157.584,UHE.PH.RJ.001536-9.01,,,,,,,,,,,,,,,,
31,Itiquira I,4523,60,,30.4,-21.1,15.2,49,0.816666666666667,1.233,0.987,49,0.816666666666667,,,,,,-,-,2,2,MT,SE-CO,Fio d´Agua,Rio Itiquira,Bacia do Paraguai,,0.816666666666667,0.0898203592814371,0.0,4521,4523,1,ITIQ-1UHE002,-,-,2,-,,2,2,30.4,-,-,-,0,0,30.4,OK,163.0,12.0,,ITIQ-1UHE000,-21.1,15.2,,11.8,189.38,UHE.PH.MT.027244-2.01,,,,,,,,,,,,,,,,
32,Nilo Peçanha,250,96,10,48,-10.7,25,78,0.8125,17.49,0.965,78,0.8125,,,,,,-,-,2,2,RJ,SE-CO,Fio d´Agua,Rio Piraí,P. do Sul / R. das Lajes / Piraí,,0.8125,0.0554272517321016,0.0,251,250,1,NPECA2UHE002,-,-,2,-,,2,2,48,-,-,-,0,10,48,OK,89.0,,,NPECA2UHE000,-10.7,25,,18,280.032,UHE.PH.RJ.001536-9.01,,,,,,,,,,,,,,,,
33,St. Antônio  (Adicional),6888,216,,,,,175,0.810185185185185,-28.9,0.983,175,0.810185185185185,,,,,,-,-,3,3,RO,SE-CO,Fio d´Agua,Rio Madeira,Bacia do Amazonas,,0.810185185185185,0.009119696010133,0.0,6889,6888,1,SA-AD1UHE003,-,-,3,-,,3,3,72.04,6888,-,-,0,21,72.04,OK,144.0,,,SA-AD1UHE000,,,,41.12,0.0,UHE.PH.RO.029707-0.01,,,,,,,,,,,,,,,,
34,St. Antônio  (Adicional 2),6892,216,,,,,175,0.810185185185185,-28.9,0.983,175,0.810185185185185,,,,,,-,-,3,3,RO,SE-CO,Fio d´Agua,Rio Madeira,Bacia do Amazonas,,0.810185185185185,0.009119696010133,0.0,6889,6892,1,SA-AD2UHE003,-,-,3,-,,3,3,72.04,6892,-,-,0,21,72.04,OK,145.0,,,SA-AD2UHE000,,,,41.12,0.0,UHE.PH.RO.029707-0.01,,,,,,,,,,,,,,,,
35,Salto Santiago,925,1420,270,355,-117,117,568,0.4,-468,0.9,568,0.4,,,,,,2,0,2,4,PR,S,Reservatório,Rio Iguaçu,Bacia do Iguaçu,Sistema de 500kV do Sul,0.4,0.194493904944528,0.0,1060,925,1,SSANTIUHE002,2,2,4,0,,2,2,355,-,926,4,0,270,355,OK,168.0,0.0,4.0,SSANTIUHE000,-117,117,0.6,142,2876.06,UHE.PH.PR.002672-7.01,,,,,,,,,,,,,,,,
36,Foz do Rio Claro,9447,68,,34.2,-10.9,16.56,55,0.808823529411765,-4.49,0.988,55,0.808823529411765,,,,,,-,-,2,2,MG/GO,SE-CO,Reservatório,Rio Claro,Bacia do Paranaíba,,0.808823529411765,0.00799811808986121,0.0,9447,9457,1,FRCLARUHE002,-,-,2,-,,2,2,34.2,-,-,-,0,0,34.2,OK,36.0,15.0,,FRCLARUHE000,-10.9,16.56,,13.4,210.9,UHE.PH.GO.029455-1.01,,,,,,,,,,,,,,,,
37,Igarapava,343,210,25,42,-14,14,169,0.804761904761905,28.94,1.01,169,0.804761904761905,,,,,,-,-,5,5,MG/SP,SE-CO,Fio d´Agua,Rio Grande,Bacia do Grande,Malha de Distribuição Triângulo - MG,0.804761904761905,0.0281501340482574,0.0,1525,343,1,IGARAPUHE005,-,-,5,-,,5,5,42,-,-,-,0,25,42,OK,9.0,26.0,,IGARAPUHE000,-14,14,,41,264.0,UHE.PH.SP.001098-7.01,,,,,,,,,,,,,,,,
38,Mascarenhas de Moraes A,22,312,36,52,-20,21,251,0.80448717948718,16.27,1,251,0.80448717948718,,,,,,-,-,5,6,MG,SE-CO,Reservatório,Rio Grande,Bacia do Grande,Sistema de 345kV do Grande,0.80448717948718,0.0418230563002681,0.0,131,22,1,M.MORAUHE005,-,-,6,-,,5,5,52,-,-,-,0,36,52,OK,5.0,45.0,,M.MORAUHE000,-20,21,,9,645.32,UHE.PH.MG.002038-9.01,,,,,,,,,,,,,,,,
39,Jaraqui,8616,39,1.64,3.282,-1.93,2.67,31,0.794871794871795,9.193,0.999,31,0.794871794871795,,,,,,-,-,10,12,AM,N,Gás Natural,,Amazonas,,0.794871794871795,0.0296577946768061,0.0,8569,8616,1,PIEJR1UTE010,-,-,12,-,,10,10,3.282,-,-,-,0,1.64,3.282,OK,340.0,,,PIEJR1UTE000,-1.93,2.67,,1.82,0.0,,204,0,33,,,,,,,,,,,,,
40,Do Atlântico (TKCSA) (gás),9600,128,40,128,-96,96,102,0.796875,-23.7,0.962,102,0.796875,,,,,,-,-,1,1,RJ,SE-CO,Gás Natural,,Rio de Janeiro,,0.796875,0.0116841624828845,0.0,9637,9600,1,CSA-G-UTE001,-,-,1,-,,1,1,128,-,-,-,0,40,128,OK,212.0,,,CSA-G-UTE000,-96,96,,26,1407.2,UTE.PE.RJ.029587-6.01,183,244.51,100,,,,,,,,,,,,,
41,Do Atlântico (TKCSA) (gás),9615,128,40,128,-96,96,102,0.796875,-23.7,0.962,102,0.796875,,,,,,-,-,1,1,RJ,SE-CO,Gás Natural,,Rio de Janeiro,,0.796875,0.0116841624828845,0.0,9637,9615,1,CSA-G2UTE001,-,-,1,-,,1,1,128,-,-,-,0,40,128,OK,214.0,,,CSA-G2UTE000,-96,96,,26,0.0,UTE.PE.RJ.029587-6.01,183,244.51,100,,,,,,,,,,,,,
42,Poraquê (antiga Cristiano Rocha),8611,85,2.14,17.08,-4,12.81,60,0.705882352941177,13.06,1.01,60,0.705882352941177,,,,,,-,-,4,5,AM,N,Gás Natural,,Amazonas,,0.705882352941177,0.064638783269962,0.0,8551,8611,1,CROCHAUTE004,-,-,5,-,,4,4,17.08,-,-,-,0,2.14,17.08,OK,339.0,,,CROCHAUTE000,-4,12.81,,8.31999999999999,113.568,,203,0,67,,,,,,,,,,,,,
43,Mauá 3 (Gás),8535,375,106.7,187.5,-75,120,295,0.786666666666667,145.4,1.01,295,0.786666666666667,,,,,,-,-,2,2,AM,N,Gás Natural,,Amazonas,,0.786666666666667,0.285171102661597,0.0,8531,8535,1,MAUAG1UTE002,-,-,2,-,,2,2,187.5,-,-,-,0,106.7,187.5,OK,335.0,,,MAUAG1UTE000,-75,120,,80,2936.464,,140,74.4,176,,,,,,,,,,,,,
