[26, 0, 26, 26, 7]
1:43:13.951149
avg    	gen	max    	min    	std    
91.1705	0  	145.184	53.9338	16.0843
87.6676	1  	132.828	53.9338	15.4765
85.5733	2  	119.422	53.9338	14.1513
80.8298	3  	133.036	51.0838	15.6115
76.2665	4  	112.73 	50.6354	15.2541
76.0895	5  	123.054	50.6354	15.1661
74.7094	6  	107.58 	40.4905	16.862 
71.0473	7  	104.954	40.4905	15.7882
69.7202	8  	107.307	40.4905	17.2164
68.969 	9  	113.551	40.4905	18.7753
66.1202	10 	109.633	40.4905	18.6137
63.0857	11 	109.503	40.4905	17.1469
62.3038	12 	114.224	40.4905	19.7956
54.8367	13 	114.001	40.4905	16.7952
50.4109	14 	100.57 	40.4905	13.8772
50.3105	15 	103.817	40.4905	15.8476
45.9529	16 	97.494 	40.4905	10.6684
49.8451	17 	101.142	40.4905	15.6531
50.0624	18 	101.376	40.4905	16.2467
47.7741	19 	93.9615	40.4905	12.5381
47.0944	20 	100.26 	40.4905	14.681 
49.7352	21 	105.944	40.4905	16.5735
51.7796	22 	110.454	40.4905	17.0781
49.5173	23 	88.3486	40.4905	13.8051
83.9604	24 	133.32 	40.4905	21.8785
72.8112	25 	119.627	40.4905	20.9034
65.387 	26 	108.754	40.4905	20.6126
56.0235	27 	124.752	40.4905	18.2449
51.5474	28 	105.864	40.4905	15.7044
51.6837	29 	104.08 	40.4905	17.216 
49.4069	30 	95.2545	40.4905	13.7103
52.1421	31 	99.19  	40.4905	16.3405
49.8447	32 	104.27 	40.4905	15.7756
50.3905	33 	118.702	40.4905	16.25  
48.9804	34 	95.578 	40.4905	14.7924
48.7389	35 	92.7657	40.4905	13.5865
52.8275	36 	106.726	40.4905	17.7363
48.3261	37 	105.657	40.4905	13.5151
48.1813	38 	95.4645	40.4905	12.8866
50.023 	39 	100.021	40.4905	15.6327
48.237 	40 	107.77 	40.4905	14.0405
49.2818	41 	122.525	40.4905	16.8749
51.8218	42 	106.727	40.4905	17.7707
46.1475	43 	91.3054	40.4905	10.8633
47.5592	44 	93.0597	40.4905	13.4402
46.6146	45 	95.3756	40.4905	12.2907
47.1124	46 	93.0643	40.4905	12.3431
47.2407	47 	102.088	40.4905	12.9936
50.5466	48 	100.691	40.4905	16.3579
92.0031	49 	145.547	40.4905	16.9845
84.8948	50 	110.761	40.4905	14.0022
81.5383	51 	117.913	40.4905	15.4693
79.7954	52 	136.776	40.4905	16.7855
74.6981	53 	120.684	40.4905	16.6874
69.1277	54 	96.0644	40.4905	14.3154
65.5688	55 	112.51 	40.4905	16.8832
62.2109	56 	110.735	40.4905	18.3466
56.406 	57 	107.069	40.4905	16.5871
48.9706	58 	100.189	40.4905	13.6012
51.3025	59 	107.814	40.4905	17.4754
48.3055	60 	94.6279	40.4905	13.729 
50.7035	61 	100.378	40.4905	15.452 
50.7954	62 	122.866	40.4905	16.9263
49.883 	63 	93.1649	40.4905	14.4321
49.8439	64 	91.5731	40.4905	15.6889
47.5294	65 	97.7359	40.4905	13.4771
49.062 	66 	102.74 	40.4905	14.7391
45.5427	67 	93.3223	40.4905	11.3287
46.9354	68 	107.635	40.4905	14.5382
48.978 	69 	104.148	40.4905	15.6021
48.3569	70 	99.8388	40.4905	13.4574
45.8598	71 	93.6739	40.4905	10.6565
49.2584	72 	110.877	40.4905	15.6715
46.2675	73 	98.1592	40.4905	13.2504
91.2383	74 	143.015	40.4905	16.4947
82.7283	75 	121.641	40.4905	15.2642
80.4838	76 	109.229	40.4905	15.0617
77.9481	77 	127.404	40.4905	16.5092
73.4417	78 	109.034	40.4905	15.7602
70.2375	79 	108.048	40.4905	17.481 
64.8626	80 	114.534	40.4905	16.6993
60.9515	81 	108.274	40.4905	16.6266
55.7786	82 	100.747	40.4905	15.1602
50.6257	83 	88.4457	40.4905	12.9555
50.343 	84 	99.1294	40.4905	15.2716
50.7382	85 	109.373	40.4905	16.6507
51.9929	86 	109.203	40.4905	18.1939
51.3316	87 	101.942	40.4905	16.9712
48.3734	88 	99.5778	40.4905	14.2624
49.9462	89 	112.447	40.4905	15.581 
48.2956	90 	89.2435	40.4905	12.942 
45.5596	91 	87.0225	40.4905	10.6589
48.399 	92 	97.494 	40.4905	14.4964
46.7379	93 	106.579	40.4905	14.2227
47.8514	94 	96.1059	40.4905	14.5274
48.5956	95 	106.403	40.4905	15.1869
47.8947	96 	109.203	40.4905	15.4738
49.8975	97 	99.8388	40.4905	15.2943
49.6824	98 	117.913	40.4905	16.1627
89.9212	99 	147.938	40.4905	17.089 
