,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_10,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
0,run_2025-08-29_01-11-02,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,9,17,25,11,11,17,1,15,25,11,69.9411587003436,18,function_IEEE_30
1,run_2025-08-29_01-11-02,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,2,9,24,18,29,16,24,29,9,20,70.44028319168333,17,function_IEEE_30
2,run_2025-08-29_01-11-02,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,3,4,9,13,14,10,9,4,14,9,69.88838027870801,17,function_IEEE_30
3,run_2025-08-29_01-11-02,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,1,7,14,1,19,12,14,28,28,12,80.09991729036848,18,function_IEEE_30
4,run_2025-08-29_01-11-02,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,29,11,24,17,29,19,23,29,11,25,79.73330625432395,15,function_IEEE_30
5,run_2025-08-29_01-11-02,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,27,14,2,12,12,10,2,15,10,15,83.64113262599737,17,function_IEEE_30
6,run_2025-08-29_01-11-02,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,12,9,9,7,12,14,21,12,7,22,74.55891978956514,17,function_IEEE_30
7,run_2025-08-29_01-35-11,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,8,19,11,11,8,8,19,11,29,12,72.87472010697184,14,function_IEEE_30
8,run_2025-08-29_01-35-11,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,29,5,1,7,7,1,23,1,1,10,80.8756117910568,16,function_IEEE_30
9,run_2025-08-29_01-35-11,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,24,4,4,10,24,4,11,2,11,18,72.66151212808893,15,function_IEEE_30
10,run_2025-08-29_01-35-11,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,5,12,11,5,5,20,11,29,29,13,79.56772804901573,11,function_IEEE_30
11,run_2025-08-29_01-35-11,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,29,5,11,5,10,11,29,10,5,5,71.23685913823019,19,function_IEEE_30
12,run_2025-08-29_01-35-11,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,23,2,2,7,13,25,2,7,30,30,70.02954178562373,19,function_IEEE_30
13,run_2025-08-29_01-35-11,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,9,0,10,18,9,11,0,24,0,11,60.71285467694437,16,function_IEEE_30
14,run_2025-08-29_01-57-19,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,26,27,27,26,21,6,27,28,27,10,79.17852733107715,16,function_IEEE_30
15,run_2025-08-29_01-57-19,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,30,0,30,30,30,11,21,30,30,22,60.35310418134321,18,function_IEEE_30
16,run_2025-08-29_01-57-19,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,19,13,20,19,1,19,13,1,2,23,71.38425443533653,17,function_IEEE_30
17,run_2025-08-29_01-57-19,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,18,15,15,13,5,20,24,18,24,15,70.50937698867091,17,function_IEEE_30
18,run_2025-08-29_01-57-19,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,4,2,8,20,1,4,7,12,2,8,91.12290480750639,19,function_IEEE_30
19,run_2025-08-29_01-57-19,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,9,10,0,21,28,19,10,9,10,23,76.74823935932713,14,function_IEEE_30
20,run_2025-08-29_01-57-19,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,3,12,5,5,19,5,3,3,12,3,79.43852682603794,19,function_IEEE_30
21,run_2025-08-29_02-19-11,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,12,13,7,7,12,7,19,19,7,28,71.95842575032354,5,function_IEEE_30
22,run_2025-08-29_02-19-11,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,31,1,1,1,31,18,1,26,26,1,69.97195716876267,12,function_IEEE_30
23,run_2025-08-29_02-19-11,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,20,3,31,20,24,20,31,8,3,20,60.60760785077801,12,function_IEEE_30
24,run_2025-08-29_02-19-11,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,5,11,26,19,19,10,14,5,26,10,70.38614837988442,17,function_IEEE_30
25,run_2025-08-29_02-19-11,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,1,10,9,9,1,16,9,10,2,12,79.75716111099894,19,function_IEEE_30
26,run_2025-08-29_02-19-11,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,0,30,30,0,0,24,1,29,0,14,78.75647691026845,16,function_IEEE_30
27,run_2025-08-29_02-19-11,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,1,30,30,13,13,2,2,1,2,7,63.32957635020941,16,function_IEEE_30
28,run_2025-08-29_02-41-00,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,31,21,15,31,31,3,15,31,24,3,62.03940216509471,19,function_IEEE_30
29,run_2025-08-29_02-41-00,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,7,28,2,7,22,13,2,28,2,22,71.56128516447409,6,function_IEEE_30
30,run_2025-08-29_02-41-00,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,3,7,21,5,11,3,21,3,5,7,81.60143934007365,16,function_IEEE_30
31,run_2025-08-29_02-41-00,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,6,26,11,25,6,22,26,6,6,12,62.69663633888545,18,function_IEEE_30
32,run_2025-08-29_02-41-00,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,31,20,10,25,25,16,16,31,31,21,73.17415864238353,14,function_IEEE_30
33,run_2025-08-29_02-41-00,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,2,9,29,2,2,4,29,2,29,14,51.36860285855139,19,function_IEEE_30
34,run_2025-08-29_02-41-00,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,3,18,18,23,3,11,10,10,11,3,74.71387324321469,19,function_IEEE_30
35,run_2025-08-29_03-02-35,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,20,0,0,18,31,20,0,18,8,20,60.12465299051002,16,function_IEEE_30
36,run_2025-08-29_03-02-35,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,1,29,2,17,6,17,24,6,1,24,90.22154010305432,18,function_IEEE_30
37,run_2025-08-29_03-02-35,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,14,9,9,8,29,8,14,14,2,22,81.03923045560538,16,function_IEEE_30
38,run_2025-08-29_03-02-35,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,13,23,23,13,7,12,29,10,29,12,71.48759872863228,17,function_IEEE_30
39,run_2025-08-29_03-02-35,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,24,11,16,15,24,11,1,16,11,6,70.46373966882555,17,function_IEEE_30
40,run_2025-08-29_03-02-35,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,18,0,9,12,12,14,0,12,0,14,51.25417116186403,19,function_IEEE_30
41,run_2025-08-29_03-02-35,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,16,1,17,16,22,18,1,1,11,18,69.49805135065665,18,function_IEEE_30
42,run_2025-08-29_03-24-05,config_1,1,1,0.9,2,10,0.9,20,1,10,0.2,50,20,26,26,20,1,14,1,1,26,20,60.39690286379585,19,function_IEEE_30
43,run_2025-08-29_03-24-05,config_1,2,1,0.9,2,10,0.9,20,1,10,0.2,50,29,0,30,29,24,30,16,29,24,16,70.33344619037086,15,function_IEEE_30
44,run_2025-08-29_03-24-05,config_1,3,1,0.9,2,10,0.9,20,1,10,0.2,50,27,24,29,27,14,29,0,14,29,29,60.65079914243123,14,function_IEEE_30
45,run_2025-08-29_03-24-05,config_1,4,1,0.9,2,10,0.9,20,1,10,0.2,50,27,3,27,27,27,14,3,6,8,20,79.77175775525258,14,function_IEEE_30
46,run_2025-08-29_03-24-05,config_1,5,1,0.9,2,10,0.9,20,1,10,0.2,50,3,5,7,12,12,3,31,4,5,31,93.21828656950322,17,function_IEEE_30
47,run_2025-08-29_03-24-05,config_1,6,1,0.9,2,10,0.9,20,1,10,0.2,50,16,11,24,24,16,24,3,22,3,11,83.30591760243827,18,function_IEEE_30
48,run_2025-08-29_03-24-05,config_1,7,1,0.9,2,10,0.9,20,1,10,0.2,50,13,2,2,2,7,22,27,2,2,22,60.75436103269089,19,function_IEEE_30
