pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_fitness,best_gen_idx
run_2025-08-21_22-11-53,config_1,1,1,0.9,2,5,0.9,5,1,5,0.2,50,16,17,16,1,27,54.45241486626857,4
run_2025-08-21_22-11-53,config_1,2,1,0.9,2,5,0.9,5,1,5,0.2,50,23,31,10,10,3,61.09729891301109,4
run_2025-08-21_22-11-53,config_1,3,1,0.9,2,5,0.9,5,1,5,0.2,50,0,23,14,29,2,63.26315549340273,4
run_2025-08-21_22-11-53,config_1,4,1,0.9,2,5,0.9,5,1,5,0.2,50,10,30,24,10,18,53.89148964378263,4
run_2025-08-21_22-11-53,config_1,5,1,0.9,2,5,0.9,5,1,5,0.2,50,7,6,22,22,7,60.99743812844282,4
run_2025-08-21_22-11-53,config_2,1,2,0.9,2,5,0.77,5,1,5,0.2,50,17,0,10,25,6,64.46103088747418,4
run_2025-08-21_22-11-53,config_2,2,2,0.9,2,5,0.77,5,1,5,0.2,50,7,2,7,29,15,51.6519701753148,4
run_2025-08-21_22-11-53,config_2,3,2,0.9,2,5,0.77,5,1,5,0.2,50,4,10,25,4,17,53.89148964378268,4
run_2025-08-21_22-11-53,config_2,4,2,0.9,2,5,0.77,5,1,5,0.2,50,18,7,18,30,7,50.92435253976517,4
run_2025-08-21_22-11-53,config_2,5,2,0.9,2,5,0.77,5,1,5,0.2,50,16,1,23,30,6,63.21030899695449,4
run_2025-08-21_22-11-13,config_1,1,1,0.9,2,5,0.77,100,1,5,0.2,50,10,16,10,10,10,37.35402933294375,99
run_2025-08-21_22-11-13,config_1,2,1,0.9,2,5,0.77,100,1,5,0.2,50,29,29,29,29,30,45.51200429701026,99
run_2025-08-21_22-11-13,config_1,3,1,0.9,2,5,0.77,100,1,5,0.2,50,13,19,13,13,13,37.35402933294375,99
run_2025-08-21_22-11-13,config_1,4,1,0.9,2,5,0.77,100,1,5,0.2,50,27,22,22,22,27,50.19952857273991,99
run_2025-08-21_22-23-33,config_1,1,1,0.9,2,5,0.77,100,1,5,0.2,50,30,20,30,30,30,37.35402933294375,99
run_2025-08-21_22-23-33,config_1,2,1,0.9,2,5,0.77,100,1,5,0.2,50,5,17,5,5,17,38.5189038855434,99
run_2025-08-21_22-23-33,config_1,3,1,0.9,2,5,0.77,100,1,5,0.2,50,27,11,27,27,29,37.35402933294379,99
