,pasta_run,configuracao,execucao,config_num,param_CROSSOVER,param_DELTA_MIN,param_IND_SIZE,param_MUTACAO,param_NUM_GENERATIONS,param_NUM_VAR_DIFERENTES,param_POP_SIZE,param_PORCENTAGEM,param_RCE_REPOPULATION_GENERATIONS,best_var_10,best_var_1,best_var_2,best_var_3,best_var_4,best_var_5,best_var_6,best_var_7,best_var_8,best_var_9,best_fitness,best_gen_idx,fitness_function
221,run_2025-08-31_16-04-07,config_2,5,2,0.9,2,5,0.8,20,1,10,0.2,50,,28,22,28,28,22,,,,,40.49047096288852,16,function_IEEE_14
360,run_2025-08-31_19-40-43,config_2,4,2,0.9,2,5,0.8,20,1,10,0.2,50,,26,2,26,26,3,,,,,40.49047096288852,9,function_IEEE_14
366,run_2025-08-31_19-40-43,config_3,3,3,0.9,2,5,0.1,20,1,10,0.2,50,,31,2,31,31,3,,,,,40.49047096288852,10,function_IEEE_14
329,run_2025-08-31_19-10-42,config_2,1,2,0.9,2,5,0.8,20,1,10,0.2,50,,0,31,0,0,9,,,,,40.49047096288854,16,function_IEEE_14
217,run_2025-08-31_16-04-07,config_2,1,2,0.9,2,5,0.8,20,1,10,0.2,50,,0,6,0,0,17,,,,,40.49047096288859,14,function_IEEE_14
219,run_2025-08-31_16-04-07,config_2,3,2,0.9,2,5,0.8,20,1,10,0.2,50,,0,6,0,0,12,,,,,40.49047096288859,5,function_IEEE_14
251,run_2025-08-31_16-34-49,config_2,7,2,0.9,2,5,0.8,20,1,10,0.2,50,,1,9,1,1,19,,,,,40.49047096288859,19,function_IEEE_14
303,run_2025-08-31_18-40-45,config_2,3,2,0.9,2,5,0.8,20,1,10,0.2,50,,26,5,26,26,13,,,,,40.49047096288859,19,function_IEEE_14
312,run_2025-08-31_18-40-45,config_3,5,3,0.9,2,5,0.1,20,1,10,0.2,50,,28,1,28,28,15,,,,,40.49047096288859,10,function_IEEE_14
386,run_2025-08-31_20-10-40,config_2,2,2,0.9,2,5,0.8,20,1,10,0.2,50,,31,1,31,31,17,,,,,40.49047096288859,9,function_IEEE_14
331,run_2025-08-31_19-10-42,config_2,3,2,0.9,2,5,0.8,20,1,10,0.2,50,,28,3,28,28,22,,,,,40.49047096288863,14,function_IEEE_14
277,run_2025-08-31_17-05-38,config_2,5,2,0.9,2,5,0.8,20,1,10,0.2,50,,1,23,1,1,8,,,,,40.49047096288864,16,function_IEEE_14
301,run_2025-08-31_18-40-45,config_2,1,2,0.9,2,5,0.8,20,1,10,0.2,50,,7,0,7,7,19,,,,,41.61301147209014,9,function_IEEE_14
359,run_2025-08-31_19-40-43,config_2,3,2,0.9,2,5,0.8,20,1,10,0.2,50,,12,26,12,12,19,,,,,41.61301147209014,16,function_IEEE_14
232,run_2025-08-31_16-04-07,config_4,2,4,0.9,2,5,0.05,20,1,10,0.2,50,,6,13,6,6,21,,,,,41.61301147209024,11,function_IEEE_14
305,run_2025-08-31_18-40-45,config_2,5,2,0.9,2,5,0.8,20,1,10,0.2,50,,1,11,1,1,22,,,,,41.61301147209024,16,function_IEEE_14
361,run_2025-08-31_19-40-43,config_2,5,2,0.9,2,5,0.8,20,1,10,0.2,50,,13,19,13,13,4,,,,,42.06144653696511,18,function_IEEE_14
198,run_2025-08-31_15-58-02,config_2,7,2,0.9,2,5,0.8,20,1,10,0.2,50,,6,16,6,6,0,,,,,42.41186250080916,16,function_IEEE_14
311,run_2025-08-31_18-40-45,config_3,4,3,0.9,2,5,0.1,20,1,10,0.2,50,,20,28,20,20,7,,,,,49.13545004407976,13,function_IEEE_14
