Número;Tipo;Grupo Base;Tensão Base (kV);Nome Barra;Grupo Limite;Limite Tensão (p.u.);Estado Operativo;Visualização;Tensão (p.u.);Tensão (kV);Ângulo (graus);Geração Ativa (MW);Geração Reativa (Mvar);Geração Reativa Mínima (Mvar);Geração Reativa Máxima (Mvar);Barra Controlada;Carga Ativa (MW);Carga Reativa (Mvar);Shunt (Mvar);Injeção Ativa (MW);Injeção Reativa (Mvar);Área;VDef (p.u.)
250;0 - PQ;B;230;URUBU--230;1;0,950-1,050;Ligado;0 - Normal;0,968;222,6;-14;;;;;;;;;;;2;1
251;0 - PQ;C;138;URUBU--138;1;0,950-1,050;Ligado;0 - Normal;0,949;131;-20;;;;;;80;10;;;;2;1
200;0 - PQ;B;230;TUCANO-230;1;0,950-1,050;Ligado;0 - Normal;0,995;228,8;-1,8;;;;;;;;;;;2;1
20;1- PV;F;1;TUCANO--13;0;0,800-1,200;Ligado;0 - Normal;0,98;1;4,18;373;-33,3;-140;140;;;;;;;2;1,03
150;0 - PQ;B;230;TIZIU--230;1;0,950-1,050;Ligado;0 - Normal;0,991;227,9;-17;;;;;;;;;;;1;1
151;0 - PQ;C;138;TIZIU--138;1;0,950-1,050;Ligado;0 - Normal;0,972;134,1;-23;;;;;;160;60;;;;1;1
140;0 - PQ;E;69;SANHACO-69;1;0,950-1,050;Ligado;0 - Normal;0,949;65,5;-27;;;;;;70;20;5;;;1;1
1110;0 - PQ;F;1;SABIA--FIC;1;0,950-1,050;Ligado;0 - Normal;1,041;1;-21;;;;;;;;;;;1;1
112;0 - PQ;A;440;SABIA--440;1;0,950-1,050;Ligado;0 - Normal;1,04;457,6;-21;;;;;;;;;;;1;1
110;0 - PQ;B;230;SABIA--230;1;0,950-1,050;Ligado;0 - Normal;1,015;233,4;-18;;;;;;;;;;;1;1
111;0 - PQ;C;138;SABIA--138;1;0,950-1,050;Ligado;0 - Normal;0,995;137,3;-22;;;;;;40;10;;;;1;1
11;1- PV;F;1;SABIA---13;0;0,800-1,200;Ligado;0 - Normal;1,015;1;-12;250;12,43;-100;100;;;;;;;1;1,03
113;0 - PQ;F;1;SABIA---13;1;0,950-1,050;Ligado;0 - Normal;1,041;1;-21;;;;;;;;;;;1;1
